text,label
Great tasting....but half are broken,1
My Kitty Seems To Love It,5
The freshest dried tarragon I could find anywhere,5
Fruit Fantasy Basket,4
Inconsistent quality,3
ingredients,3
Good Hot Chocolate,5
Too fine for loose tea,2
"product was good, but cans were dented",3
What else can I say about a product that was made to pick up poo poo?,4
Emeril's Big Easy Bold,5
the bomb,5
Not that great,2
"Tastes great, but watch how many you eat daily",3
"Great coffee, better price",5
Sent wrong product,1
Play It Again Sam!,4
BPA in lids!!!,1
"not my cup of tea, so to speak",3
Great stuff!,5
Be wary of these ingredients for your pet,2
Go for Pinhead Gunpowder instead...,2
Good but there's so much of it!!!,3
Our dog loves them!,4
Yum,5
Tasty but tiny,3
To much (fake) butter,2
"Real fruit, unreal flavors.",3
My Dogs Love It!,4
Very disappointed in product storage,1
Not great,1
Cost just went up by 50%,2
excellent coffee,5
Gerber Graduates Spagetti Rings in Meat Sauce,5
Tasty treat,4
cover me please,2
Worst Cocoa Ever,1
Horrible Packages,1
Good value,4
I like it.,4
Need some cream and sugar,3
Bags not airtight,2
Just hot,3
Close...,3
"Mild, Weak",3
didn't work for my dogs,2
Just Right Anytime of Day!,5
My favorite dessert tea,5
Great Candy - not very fresh,2
Terrible,1
Hatcho Miso or not Hatcho miso,1
Can you recycle K-Cups???,3
Anticipation!,4
I like Nutra Grains,4
"Nicer fragrance than most, very relaxing.",5
Basic Tea---But Just Fine!,4
Excellent Green Tea,5
Dr. Lucy's brought nothing but SMILIES to my picky eater!!!,5
In addition to price these taste terrible!,1
Too dark for my taste,2
Coconut + Matcha = Delicious!,4
Espresso?,2
Worst cornbread ever!,1
Okay but some weird flavors,2
I liked Bob's Red Mill better,2
a tip for improving consistency,4
Hard to choke this down,1
Nothing special...dogs weren't impressed,3
Teeccino Organic Caffeine Free Herbal Coffee,1
NIce (hot!) stuff,5
My dogs LOVE these treats!,4
photo did not represent candy received,2
Salty and a tad boring,2
Cheap Plastic Container will NOT Keep Product Fresh,1
most of the chips were in very  very small pieces bad shipping,2
"Good tea, but better in the satchel",4
Not what I expected,3
"My ""Special"" Treat I Add To Healthy Food",4
Very good hair and skin moisturizer!,4
Worse than Bad!,1
Fantastic,5
Did not work for me.,1
Artificial taste and smell. Naturally flavored with other natural flavor (?),1
Saltier than salt?,1
Very poor quality; little real meat;,1
Bland,3
WARNING this is a CORN flower product,1
Bad looking pretzels,1
Tese duck n yam treats look really good but my 2 maltese wont even taste them,3
They are really sweet,3
Disappointed/false advertising,2
At Least the Box is Still Nice,1
Adorable but flavor is gone almost right away,2
Very Dissapointed,2
Delicious topping,5
top notch,5
Didn't really feel much of a 'Boost',3
Price escalation undeserved,3
wine kit,4
It's really just applesauce,3
Dogs were allergic!,1
Fish tea,1
Way too much.,2
I Like These Bars But They Don't Like Me,3
Not Typical Coffee K-Cup,2
"Bob's Red Mill Pumpkin Seeds, Raw",5
Do your research,1
Save your $ - buy these in the store.,2
Durable - but dog is not interested....,3
Like Battery Acid,3
Great but wish it was stronger,4
Hazelnut Good Feeling,4
Perfect gift for the natural & health minded cook,4
Another product made in China,1
"Good, if you like MSG and nothing else.",1
Please Try It,5
Will not buy,3
decaf,5
Non-everlasting treat ball,1
Damaged,3
My dog ate it and got sick,1
very disappointed,2
good flavor but shipping is too much!!,2
Awful advertising - THESE ARE MADE IN CHINA... NOT USA,1
Tea Consumer,3
can't cook without it...,4
Nine Lives Tuna,2
STRONG PRODUCT NAME/WEAK COFFEE,3
watch out...,2
Brain vs. Brawn,2
Taste The Century,4
Would be 3 stars of not so salty and watery.,2
Way to pricey,1
My cats love this stuff,5
good deal. Quality could be better.,3
ridiculous price,1
Yummy,5
not your traditional granola,3
Best Belgian chocolate bar on the market.,5
Strong Taste,3
Yuck,1
Breeder recommends but dog rejects,2
Crisco for hair.....,2
"Not horrible, but. ....",3
Small is a good description,2
Fantastic for On the Go,5
Weruva Paw-Lickin' Chicken,5
Nice Scent,5
Serious health food,2
Almost worthy of five stars,4
"Buy American, this product is from China",1
Too strong,2
Super Tea!!!,5
too salty,2
Salty,3
It tastes funny,1
"Not bad, has a bit of a weird aftertaste, though",3
Smooth cup of coffee,4
Raw Honey,5
Not very good,2
my favorite,5
Great for kids!,5
Freeze dried fruit,3
Great Product; finicky cat;  I don't get to eat wild salmon,5
It didn't work for me,3
Diet is right,3
Smooth,5
"Very creative! (but ""caramel"" isn't the best name for it)",4
Great tasting!,5
Emeril's price increase excessive,1
cheesy!,4
Dog loves it but......,3
Misleading Photo,3
Don't buy this,1
Too Strong,3
good,4
Poor quality control in packaging,2
Very tasty snack,4
Sugar Free!,1
Exir Saffron Tablets,5
"Rose-flavored Water, NOT Rosewater",2
Elderly cat's all-time favorite wet food,4
Puroast French Dark Roast,1
Good but not Great - not worth the Sugar calories,3
Too bitter,2
Ginger Snaps,5
Stonewalll Preserves,4
"Tender as promised, but more salt and gristle than bargained for",2
Been drinking it for years!,5
Yum and Ouch!,4
These are Great,5
Quality food for my cat with grain allergies,5
Good Coffee from Amazon.com,4
Offensive gas producer!!!,2
No Hazelnut flavor,2
Tastes good,4
Yummy,4
Not like the picture,1
Overpriced,3
Azeite,5
Wanted so badly to like it,2
WASTE OF A K-CUP,1
pretty wet to use in a salt grinder,3
Horrible!  Stay away...  I like some of the salad dressings they make,1
Not impressed,2
This makes a great cup of coffee,4
"Make sure you count the bags inside! And watch out for hard, sharp bits!",2
Doggie delight,5
It's OK - on the bland side,3
just OK,3
I like it,3
A Nice Treat,4
Tiger Spice Chai,5
Amazing bar! Too expensive @ amazon!,3
Moist and Dense,5
great taste while it lasts,3
Please get past the taste.,5
Cereal,3
Shipping costs a deal breaker,1
Delicious!,4
The Incredible Miracle Berry Experience,5
Smells amazing!,4
Great for making lassi drinks,4
Terrible!!,1
"Tasty, but you should know they are produced in China",3
Too Sticky to Unwrap,2
Read and read well.,1
Didn't like this one...,3
Came with an unexpected surprise!,2
The best that I've tried of the K-Cup tea offerings,4
Great coffee,5
Not terrible but I won't purchase again,3
"Delicious, but BPA Free?",4
"Contents not as pictured, no ingredient listing either",1
Tea at it its best in a large package.,5
Really Good,5
"Some Flavors are Good, Others are Great",4
DANGEROUS!,1
"Yummy, portable, and affordable",4
Lots of Sludge on the bottom,1
Pretty tasty chips with no weird ingredients,4
Yummy!!,5
Odd Taste,2
Reeks of ammonium when you cook it...,1
odd shaped,3
My dogs love it!,5
BEWARE! DO NOT BUY IF YOUR DOG HAS SENSITIVE DIGESTION!!!,1
So GROSS!,1
Meh,2
Clogs brewer,3
Perfect for a sweet tooth,4
My first Amazing Grass product,4
Best beans for Jura S9: UPDATED,3
Crackers are cracked,2
Just Gross,1
"not bad, not the best",3
Convenience in a tub,4
great item,5
OK in a pinch,3
"Different, Good but very different.",4
SOOOOOOO SALTY!!!,2
It's ok,2
Not as tasty as I wanted,3
keeps breath fresh but gives diarrhea,2
Pleased with quality,4
"Food is great, some cans came damaged",3
Am I the only one who finds these tasteless??,2
"So So, There Are Better Out There",3
very tasty,5
"Great Price, good coffeee",4
Chewy chocolate coconut chew,3
Quick and apparently yummy toy,3
Angry Bird Fruit Gummies Combo,4
YUCK!,1
Only good if dog is food motivated,2
Great for diabetics and their workouts,4
Expect not to have crumbs,3
"Big soft delicious cookie!  My husband takes them to work to have for break, and he loves them!  We've ordered twice so far.",5
"Noodles, yes but Thai red curry this is NOT!",1
"Fresh almonds, good price.",4
strong and flavorful,4
Disappointed,2
"Weak, sometimes WON'T sweeten",2
"Decent taste, just not recipie previously found with this label",2
Garlic Mill,5
Waste of money,2
Good flavor; priced a little high,3
Too runny...,3
Beyond Expiration Date,2
I'm confused with this gum.,3
All Doggies love Dingos,5
Quality Issues,3
Watch the shipping on Amazon and Jerimiah's coffee,2
Tasted better in Japan,3
Did not work...for me.,2
mouthgasm,5
"Cookies great, Amazon not so great.",1
This is really good stuff,4
Authentic - enjoyed by wizards AND muggles,4
Powerful punch,2
Some Diamond Pet Food Wellness are RECALLED,3
awesome pretzels!,5
"If you have gotten a bad can, read this!",4
Good Sampler of  All-Natural Fruit Hard Candies that Taste Like Real Fruit.,5
A perfect replacement for artificial sweeteners,5
Not bad!,4
Are we even talking about the same stuff,2
great little snack,4
"Overall a decent product, just avoid buying these ""Bargain Hunters""",3
This Chicken Tikka Masala is the best!,5
Great taste!,5
"A bit different, good ginger, very hard snaps!",4
Does not tast diet - and I hate diet drinks!,5
not that good,1
Great 2 in 1,4
My new favorite flavor,5
Celestial Seasonings India Spice Chai,1
Great on popcorn!,5
Great Product,5
nice shiitake mushrooms,5
What have they done??,1
too many calories,2
I'm eating candy-coated sawdust.,3
The best all purpose gluten-free sandwich bread,4
it was good,4
Love this Coffee,4
Not what I was expecting!!,3
Not what I purchased,2
Wish I knew this existed sooner!,4
Nothing special,3
Chocolate & Granola....Back to Nature,3
Coffee,2
Better than Starbuck!,5
"Dogs like them, but be careful",3
Wolf Size??,3
Fantastic,5
"Cool toy, but dog not really interested",3
Interesting,3
"Robust mate, barely-there mint.",4
weak wine,2
Case (24) of 6 Ounce Great Northern Popcorn Portion,3
5% bitter,2
Memories ...,4
"(1) replacement of smaller 12.9 oz cans before customers click ""place the order"" button (2) ""fishy"" smell of formula",2
Tastes like an ashtray,1
My dog prefers the red ones,3
"If you don't need a wheat- or gluten-free product, stick with Bisquick.",3
Dogs love these!,5
NEW FORMULA TOXIC - DON'T WASTE YOUR MONEY!,1
Didn't last 6 minutes,2
Great flavor,5
Rehydrates Cancer Patients,4
"Potato-y taste, bad texture",2
Nasty stuff,1
Quaker Rice Cakes,4
"Very Disappointing - bland,sweet and dry",1
Disappointed,2
Baby Just Didn't Like It,3
love the dark rich flavor,5
It wasn't awful,3
Some Diamond Pet Food Wellness are RECALLED,3
Great dog toy,5
very tiny!!!!!!,3
Filler rubbish.....,1
Wierd ingredients,2
Stale Chips,1
I don't have good luck with this bread,3
Should be a two-for,1
Sugar-Free Guylian Dark Chocolate Candy Bar,3
beware,2
vegetarian Pet Guard Dog Food,1
The stench of old fish. Try the poultry one instead.,1
I should have read the reviews,3
Leaky cups,3
Bad texture and taste,1
Not full-size cans!,2
Enjoy,4
Great tea!,5
Dogs love them,4
SC&O Pop chips,4
Good taste - Bad Price,3
"Broken out of the box. Fixed myself, but still..",1
Gourmet Supermarket Kibble,3
Not as good as Bigelow Fruit & Almond,2
Good for you Flaxseed,5
Made in China,1
Great for baking...,4
"Only fragments, no whole leaf",1
Edible novelty item (it has limitations),3
Smaller than I Thought Based on Picture,3
Not too thrilled,2
Great cereal,4
They did it right.,5
The Best Green Tea,5
A Big Favorite,5
Deliciously Crunchy--to the Bottom of the Bowl,5
"calm, yes... but at what price?",2
"OK Tea, not bad",3
This is a fine powder,3
"Astringent, weak tea",2
A must have if you have painful heavy periods,5
tasty almonds,4
Disgusting,1
"High on Volume, Low on Flavor",4
Didn't like the flavor and don't order during warm months!,2
A Nice Fruity Matcha!,4
Love this product,5
Over-baked,2
Love it!,5
pods get stuck,1
An anti-nausea product,5
"Weird, addictive, gives you a bit of gas",3
moldy!,2
Very Thai,3
Like this tea,4
Crystal Light Appletini Flavored Drink Mix Is A Winner!,5
------Taste is great and Switch is 100% juice------,4
Average!,3
Very Tasty BUT NOT SUGAR FREE,3
Ehh okay I guess....,2
I don't give a hoot about Van Houtte,2
Very Disappointed,2
"No more powdery, cheesy fingers from popcorn!",5
Smell and taste outdated,1
Great flavor,5
Expensive for so little oatmeal,3
"One of the few ""teeth cleaning treats"" that my cat will eat.",5
STONE,4
Slow Shipping,2
not great,2
It's Better If You Don't Look at the Ingredients,2
What's the point?,1
Great Seller and Product,5
Great glace Fruit,5
way too salty,1
Best Drink! All the kids and teenagers love it!,5
My kids love these!,5
Great treats!,5
Disappointed,3
Best Chips out there!!!,5
Amazon's win is Costco's loss,5
Hot Chocolate not so hot,2
Low Quality,1
Not gooey,2
K-cup coffe,5
"OK coffee, but there are better alternatives",3
not worth a nickel,1
A Pound is a pound,2
good basic,4
Poor quality ? past shelf life?,1
White BBQ Sauce,1
Satisified,4
Pretty Darned Close to KFC,5
"Excellent coffee, not all that exotic, though...",3
Dog won't eat it.,2
"Not ""Dublin"" Dr Pepper",3
Stephen's Hot Candycane Cocoa is the best!,5
terrible,1
Okay,3
Not Impressed,1
Great product/great company/great customer service,5
"Pretty tasty, but not chewy enough",4
cat will not eat the small kibbles,3
Starwest botanicals review,1
Not the best in the World,3
Wonderful for malnourished kittens,5
Tasty and at a great price.,4
Not as Tasty as I Hoped,3
Just Love this Combo!,5
Taste wise there isn't much difference from the original,4
"A little too sweet, Plain/Dark chocolate variety is better",3
PB2,5
No reaction....,2
Too much vinegar,2
